log_id,game_id,timestamp,category,type,turn,player,phase,card_target,card_source,card_count
1,f34ed2d0-9f42-47ea-83e8-d4874dafc4c7,2025-04-13T00:27:23.559,game,GAME_START,,,,,,
2,,2025-04-13T00:27:24.269,turn,TURN_START,0,4,,,,
3,,2025-04-13T00:27:24.27,phase,PHASE_START,0,4,start,,,
4,,2025-04-13T00:27:24.28,phase,PHASE_END,0,4,start,,,
5,,2025-04-13T00:27:24.281,phase,PHASE_START,0,4,action,,,
6,,2025-04-13T00:27:24.293,phase,PHASE_END,0,4,action,,,
7,,2025-04-13T00:27:24.293,phase,PHASE_START,0,4,buy,,,
8,,2025-04-13T00:27:24.346,effect,CARD_PLAY,0,4,buy,Copper,,1
9,,2025-04-13T00:27:24.387,effect,CARD_PLAY,0,4,buy,Copper,,1
10,,2025-04-13T00:27:24.387,effect,CARD_PLAY,0,4,buy,Copper,,1
11,,2025-04-13T00:27:24.387,effect,CARD_PLAY,0,4,buy,Copper,,1
12,,2025-04-13T00:27:24.388,effect,CARD_PLAY,0,4,buy,Copper,,1
13,,2025-04-13T00:27:24.525,effect,CARD_BUY,0,4,buy,Laboratory,,1
14,,2025-04-13T00:27:24.565,phase,PHASE_END,0,4,buy,,,
15,,2025-04-13T00:27:24.566,phase,PHASE_START,0,4,cleanup,,,
16,,2025-04-13T00:27:24.566,phase,PHASE_END,0,4,cleanup,,,
17,,2025-04-13T00:27:24.605,turn,TURN_END,0,4,,,,
18,,2025-04-13T00:27:24.606,turn,TURN_START,1,1,,,,
19,,2025-04-13T00:27:24.606,phase,PHASE_START,1,1,start,,,
20,,2025-04-13T00:27:24.606,phase,PHASE_END,1,1,start,,,
21,,2025-04-13T00:27:24.607,phase,PHASE_START,1,1,action,,,
22,,2025-04-13T00:27:24.607,phase,PHASE_END,1,1,action,,,
23,,2025-04-13T00:27:24.607,phase,PHASE_START,1,1,buy,,,
24,,2025-04-13T00:27:24.608,effect,CARD_PLAY,1,1,buy,Copper,,1
25,,2025-04-13T00:27:24.608,effect,CARD_PLAY,1,1,buy,Copper,,1
26,,2025-04-13T00:27:24.609,effect,CARD_PLAY,1,1,buy,Copper,,1
27,,2025-04-13T00:27:24.609,effect,CARD_PLAY,1,1,buy,Copper,,1
28,,2025-04-13T00:27:24.61,effect,CARD_PLAY,1,1,buy,Copper,,1
29,,2025-04-13T00:27:24.61,effect,CARD_BUY,1,1,buy,Laboratory,,1
30,,2025-04-13T00:27:24.611,phase,PHASE_END,1,1,buy,,,
31,,2025-04-13T00:27:24.611,phase,PHASE_START,1,1,cleanup,,,
32,,2025-04-13T00:27:24.612,phase,PHASE_END,1,1,cleanup,,,
33,,2025-04-13T00:27:24.612,turn,TURN_END,1,1,,,,
34,,2025-04-13T00:27:24.613,turn,TURN_START,2,2,,,,
35,,2025-04-13T00:27:24.613,phase,PHASE_START,2,2,start,,,
36,,2025-04-13T00:27:24.613,phase,PHASE_END,2,2,start,,,
37,,2025-04-13T00:27:24.615,phase,PHASE_START,2,2,action,,,
38,,2025-04-13T00:27:24.615,phase,PHASE_END,2,2,action,,,
39,,2025-04-13T00:27:24.615,phase,PHASE_START,2,2,buy,,,
40,,2025-04-13T00:27:24.616,effect,CARD_PLAY,2,2,buy,Copper,,1
41,,2025-04-13T00:27:24.616,effect,CARD_PLAY,2,2,buy,Copper,,1
42,,2025-04-13T00:27:24.617,effect,CARD_PLAY,2,2,buy,Copper,,1
43,,2025-04-13T00:27:24.617,effect,CARD_PLAY,2,2,buy,Copper,,1
44,,2025-04-13T00:27:24.618,effect,CARD_PLAY,2,2,buy,Copper,,1
45,,2025-04-13T00:27:24.618,effect,CARD_BUY,2,2,buy,Laboratory,,1
46,,2025-04-13T00:27:24.619,phase,PHASE_END,2,2,buy,,,
47,,2025-04-13T00:27:24.619,phase,PHASE_START,2,2,cleanup,,,
48,,2025-04-13T00:27:24.62,phase,PHASE_END,2,2,cleanup,,,
49,,2025-04-13T00:27:24.621,turn,TURN_END,2,2,,,,
50,,2025-04-13T00:27:24.621,turn,TURN_START,3,3,,,,
51,,2025-04-13T00:27:24.622,phase,PHASE_START,3,3,start,,,
52,,2025-04-13T00:27:24.622,phase,PHASE_END,3,3,start,,,
53,,2025-04-13T00:27:24.623,phase,PHASE_START,3,3,action,,,
54,,2025-04-13T00:27:24.623,phase,PHASE_END,3,3,action,,,
55,,2025-04-13T00:27:24.624,phase,PHASE_START,3,3,buy,,,
56,,2025-04-13T00:27:24.624,effect,CARD_PLAY,3,3,buy,Copper,,1
57,,2025-04-13T00:27:24.625,effect,CARD_PLAY,3,3,buy,Copper,,1
58,,2025-04-13T00:27:24.625,effect,CARD_PLAY,3,3,buy,Copper,,1
59,,2025-04-13T00:27:24.625,effect,CARD_PLAY,3,3,buy,Copper,,1
60,,2025-04-13T00:27:24.626,effect,CARD_PLAY,3,3,buy,Copper,,1
61,,2025-04-13T00:27:24.627,effect,CARD_BUY,3,3,buy,Laboratory,,1
62,,2025-04-13T00:27:24.627,phase,PHASE_END,3,3,buy,,,
63,,2025-04-13T00:27:24.628,phase,PHASE_START,3,3,cleanup,,,
64,,2025-04-13T00:27:24.631,phase,PHASE_END,3,3,cleanup,,,
65,,2025-04-13T00:27:24.631,turn,TURN_END,3,3,,,,
66,,2025-04-13T00:27:24.631,turn,TURN_START,4,4,,,,
67,,2025-04-13T00:27:24.632,phase,PHASE_START,4,4,start,,,
68,,2025-04-13T00:27:24.632,phase,PHASE_END,4,4,start,,,
69,,2025-04-13T00:27:24.633,phase,PHASE_START,4,4,action,,,
70,,2025-04-13T00:27:24.633,phase,PHASE_END,4,4,action,,,
71,,2025-04-13T00:27:24.633,phase,PHASE_START,4,4,buy,,,
72,,2025-04-13T00:27:24.633,effect,CARD_PLAY,4,4,buy,Copper,,1
73,,2025-04-13T00:27:24.683,effect,CARD_PLAY,4,4,buy,Copper,,1
74,,2025-04-13T00:27:24.687,effect,CARD_BUY,4,4,buy,Copper,,1
75,,2025-04-13T00:27:24.687,phase,PHASE_END,4,4,buy,,,
76,,2025-04-13T00:27:24.688,phase,PHASE_START,4,4,cleanup,,,
77,,2025-04-13T00:27:24.688,phase,PHASE_END,4,4,cleanup,,,
78,,2025-04-13T00:27:24.688,turn,TURN_END,4,4,,,,
79,,2025-04-13T00:27:24.689,turn,TURN_START,5,1,,,,
80,,2025-04-13T00:27:24.689,phase,PHASE_START,5,1,start,,,
