log_id,game_id,timestamp,category,type,turn,player,phase,card_target,card_source,card_count
1,77ff45a7-c65d-4e27-af4a-3e16577911a0,2025-04-13T03:20:31.799,game,GAME_START,,,,,,
2,,2025-04-13T03:20:32.519,turn,TURN_START,0,4,,,,
3,,2025-04-13T03:20:32.519,phase,PHASE_START,0,4,start,,,
4,,2025-04-13T03:20:32.52,phase,PHASE_END,0,4,start,,,
5,,2025-04-13T03:20:32.52,phase,PHASE_START,0,4,action,,,
6,,2025-04-13T03:20:32.531,phase,PHASE_END,0,4,action,,,
7,,2025-04-13T03:20:32.531,phase,PHASE_START,0,4,buy,,,
8,,2025-04-13T03:20:32.583,effect,CARD_PLAY,0,4,buy,Copper,,1
9,,2025-04-13T03:20:32.623,effect,CARD_PLAY,0,4,buy,Copper,,1
10,,2025-04-13T03:20:32.623,effect,CARD_PLAY,0,4,buy,Copper,,1
11,,2025-04-13T03:20:32.624,effect,CARD_PLAY,0,4,buy,Copper,,1
12,,2025-04-13T03:20:32.624,effect,CARD_PLAY,0,4,buy,Copper,,1
13,,2025-04-13T03:20:32.76,effect,CARD_BUY,0,4,buy,Laboratory,,1
14,,2025-04-13T03:20:32.803,phase,PHASE_END,0,4,buy,,,
15,,2025-04-13T03:20:32.803,phase,PHASE_START,0,4,cleanup,,,
16,,2025-04-13T03:20:32.803,phase,PHASE_END,0,4,cleanup,,,
17,,2025-04-13T03:20:32.843,turn,TURN_END,0,4,,,,
18,,2025-04-13T03:20:32.843,turn,TURN_START,1,1,,,,
19,,2025-04-13T03:20:32.843,phase,PHASE_START,1,1,start,,,
20,,2025-04-13T03:20:32.843,phase,PHASE_END,1,1,start,,,
21,,2025-04-13T03:20:32.844,phase,PHASE_START,1,1,action,,,
22,,2025-04-13T03:20:32.844,phase,PHASE_END,1,1,action,,,
23,,2025-04-13T03:20:32.845,phase,PHASE_START,1,1,buy,,,
24,,2025-04-13T03:20:32.845,effect,CARD_PLAY,1,1,buy,Copper,,1
25,,2025-04-13T03:20:32.846,effect,CARD_PLAY,1,1,buy,Copper,,1
26,,2025-04-13T03:20:32.846,effect,CARD_PLAY,1,1,buy,Copper,,1
27,,2025-04-13T03:20:32.847,effect,CARD_PLAY,1,1,buy,Copper,,1
28,,2025-04-13T03:20:32.847,effect,CARD_PLAY,1,1,buy,Copper,,1
29,,2025-04-13T03:20:32.847,effect,CARD_BUY,1,1,buy,Laboratory,,1
30,,2025-04-13T03:20:32.848,phase,PHASE_END,1,1,buy,,,
31,,2025-04-13T03:20:32.848,phase,PHASE_START,1,1,cleanup,,,
32,,2025-04-13T03:20:32.848,phase,PHASE_END,1,1,cleanup,,,
33,,2025-04-13T03:20:32.849,turn,TURN_END,1,1,,,,
34,,2025-04-13T03:20:32.849,turn,TURN_START,2,2,,,,
35,,2025-04-13T03:20:32.849,phase,PHASE_START,2,2,start,,,
36,,2025-04-13T03:20:32.85,phase,PHASE_END,2,2,start,,,
37,,2025-04-13T03:20:32.85,phase,PHASE_START,2,2,action,,,
38,,2025-04-13T03:20:32.851,phase,PHASE_END,2,2,action,,,
39,,2025-04-13T03:20:32.851,phase,PHASE_START,2,2,buy,,,
40,,2025-04-13T03:20:32.851,effect,CARD_PLAY,2,2,buy,Copper,,1
41,,2025-04-13T03:20:32.852,effect,CARD_PLAY,2,2,buy,Copper,,1
42,,2025-04-13T03:20:32.852,effect,CARD_PLAY,2,2,buy,Copper,,1
43,,2025-04-13T03:20:32.853,effect,CARD_PLAY,2,2,buy,Copper,,1
44,,2025-04-13T03:20:32.853,effect,CARD_PLAY,2,2,buy,Copper,,1
45,,2025-04-13T03:20:32.854,effect,CARD_BUY,2,2,buy,Laboratory,,1
46,,2025-04-13T03:20:32.854,phase,PHASE_END,2,2,buy,,,
47,,2025-04-13T03:20:32.855,phase,PHASE_START,2,2,cleanup,,,
48,,2025-04-13T03:20:32.855,phase,PHASE_END,2,2,cleanup,,,
49,,2025-04-13T03:20:32.855,turn,TURN_END,2,2,,,,
