log_id,game_id,timestamp,category,type,turn,player,phase,card_target,card_source,card_count
80,,2025-04-13T06:50:12.343,phase,PHASE_START,5,2,start,,,
81,,2025-04-13T06:50:12.343,phase,PHASE_END,5,2,start,,,
82,,2025-04-13T06:50:12.343,phase,PHASE_START,5,2,action,,,
83,,2025-04-13T06:50:12.343,phase,PHASE_END,5,2,action,,,
84,,2025-04-13T06:50:12.345,phase,PHASE_START,5,2,buy,,,
85,,2025-04-13T06:50:12.345,effect,CARD_PLAY,5,2,buy,Copper,,1
86,,2025-04-13T06:50:12.345,effect,CARD_PLAY,5,2,buy,Copper,,1
87,,2025-04-13T06:50:12.346,effect,CARD_BUY,5,2,buy,Copper,,1
88,,2025-04-13T06:50:12.346,phase,PHASE_END,5,2,buy,,,
89,,2025-04-13T06:50:12.347,phase,PHASE_START,5,2,cleanup,,,
90,,2025-04-13T06:50:12.347,phase,PHASE_END,5,2,cleanup,,,
91,,2025-04-13T06:50:12.348,turn,TURN_END,5,2,,,,
92,,2025-04-13T06:50:12.348,turn,TURN_START,6,3,,,,
93,,2025-04-13T06:50:12.349,phase,PHASE_START,6,3,start,,,
94,,2025-04-13T06:50:12.349,phase,PHASE_END,6,3,start,,,
95,,2025-04-13T06:50:12.35,phase,PHASE_START,6,3,action,,,
96,,2025-04-13T06:50:12.35,phase,PHASE_END,6,3,action,,,
97,,2025-04-13T06:50:12.35,phase,PHASE_START,6,3,buy,,,
98,,2025-04-13T06:50:12.351,effect,CARD_PLAY,6,3,buy,Copper,,1
99,,2025-04-13T06:50:12.351,effect,CARD_PLAY,6,3,buy,Copper,,1
100,,2025-04-13T06:50:12.352,effect,CARD_BUY,6,3,buy,Copper,,1
101,,2025-04-13T06:50:12.352,phase,PHASE_END,6,3,buy,,,
102,,2025-04-13T06:50:12.353,phase,PHASE_START,6,3,cleanup,,,
103,,2025-04-13T06:50:12.353,phase,PHASE_END,6,3,cleanup,,,
104,,2025-04-13T06:50:12.354,turn,TURN_END,6,3,,,,
105,,2025-04-13T06:50:12.354,turn,TURN_START,7,4,,,,
106,,2025-04-13T06:50:12.354,phase,PHASE_START,7,4,start,,,
107,,2025-04-13T06:50:12.355,phase,PHASE_END,7,4,start,,,
108,,2025-04-13T06:50:12.355,phase,PHASE_START,7,4,action,,,
109,,2025-04-13T06:50:12.355,phase,PHASE_END,7,4,action,,,
110,,2025-04-13T06:50:12.356,phase,PHASE_START,7,4,buy,,,
111,,2025-04-13T06:50:12.356,effect,CARD_PLAY,7,4,buy,Copper,,1
112,,2025-04-13T06:50:12.357,effect,CARD_PLAY,7,4,buy,Copper,,1
113,,2025-04-13T06:50:12.357,effect,CARD_BUY,7,4,buy,Copper,,1
114,,2025-04-13T06:50:12.358,phase,PHASE_END,7,4,buy,,,
115,,2025-04-13T06:50:12.358,phase,PHASE_START,7,4,cleanup,,,
116,,2025-04-13T06:50:12.359,phase,PHASE_END,7,4,cleanup,,,
117,,2025-04-13T06:50:12.359,turn,TURN_END,7,4,,,,
118,,2025-04-13T06:50:12.359,turn,TURN_START,8,1,,,,
119,,2025-04-13T06:50:12.36,phase,PHASE_START,8,1,start,,,
120,,2025-04-13T06:50:12.36,phase,PHASE_END,8,1,start,,,
121,,2025-04-13T06:50:12.361,phase,PHASE_START,8,1,action,,,
122,,2025-04-13T06:50:12.409,effect,CARD_PLAY,8,1,action,Laboratory,,1
123,,2025-04-13T06:50:12.41,phase,PHASE_END,8,1,action,,,
124,,2025-04-13T06:50:12.41,phase,PHASE_START,8,1,buy,,,
125,,2025-04-13T06:50:12.411,effect,CARD_PLAY,8,1,buy,Copper,,1
126,,2025-04-13T06:50:12.411,effect,CARD_PLAY,8,1,buy,Copper,,1
127,,2025-04-13T06:50:12.412,effect,CARD_PLAY,8,1,buy,Copper,,1
128,,2025-04-13T06:50:12.412,effect,CARD_BUY,8,1,buy,Copper,,1
129,,2025-04-13T06:50:12.451,phase,PHASE_END,8,1,buy,,,
130,,2025-04-13T06:50:12.452,phase,PHASE_START,8,1,cleanup,,,
131,,2025-04-13T06:50:12.452,phase,PHASE_END,8,1,cleanup,,,
132,,2025-04-13T06:50:12.452,turn,TURN_END,8,1,,,,
133,,2025-04-13T06:50:12.453,turn,TURN_START,9,2,,,,
134,,2025-04-13T06:50:12.453,phase,PHASE_START,9,2,start,,,
135,,2025-04-13T06:50:12.454,phase,PHASE_END,9,2,start,,,
136,,2025-04-13T06:50:12.454,phase,PHASE_START,9,2,action,,,
137,,2025-04-13T06:50:12.455,effect,CARD_PLAY,9,2,action,Laboratory,,1
138,,2025-04-13T06:50:12.455,phase,PHASE_END,9,2,action,,,
139,,2025-04-13T06:50:12.455,phase,PHASE_START,9,2,buy,,,
140,,2025-04-13T06:50:12.457,effect,CARD_PLAY,9,2,buy,Copper,,1
141,,2025-04-13T06:50:12.457,effect,CARD_PLAY,9,2,buy,Copper,,1
142,,2025-04-13T06:50:12.458,effect,CARD_PLAY,9,2,buy,Copper,,1
143,,2025-04-13T06:50:12.459,effect,CARD_PLAY,9,2,buy,Copper,,1
144,,2025-04-13T06:50:12.459,effect,CARD_BUY,9,2,buy,Copper,,1
145,,2025-04-13T06:50:12.46,phase,PHASE_END,9,2,buy,,,
146,,2025-04-13T06:50:12.46,phase,PHASE_START,9,2,cleanup,,,
147,,2025-04-13T06:50:12.461,phase,PHASE_END,9,2,cleanup,,,
148,,2025-04-13T06:50:12.461,turn,TURN_END,9,2,,,,
149,,2025-04-13T06:50:12.462,turn,TURN_START,10,3,,,,
