log_id,game_id,timestamp,category,type,turn,player,phase,card_target,card_source,card_count
1,c4f74042-07e0-446d-8f69-5fb81e5f01d4,2025-04-13T03:20:58.332,game,GAME_START,,,,,,
2,,2025-04-13T03:20:59.046,turn,TURN_START,0,3,,,,
3,,2025-04-13T03:20:59.047,phase,PHASE_START,0,3,start,,,
4,,2025-04-13T03:20:59.047,phase,PHASE_END,0,3,start,,,
5,,2025-04-13T03:20:59.047,phase,PHASE_START,0,3,action,,,
6,,2025-04-13T03:20:59.059,phase,PHASE_END,0,3,action,,,
7,,2025-04-13T03:20:59.06,phase,PHASE_START,0,3,buy,,,
8,,2025-04-13T03:20:59.111,effect,CARD_PLAY,0,3,buy,Copper,,1
9,,2025-04-13T03:20:59.15,effect,CARD_PLAY,0,3,buy,Copper,,1
10,,2025-04-13T03:20:59.151,effect,CARD_PLAY,0,3,buy,Copper,,1
11,,2025-04-13T03:20:59.151,effect,CARD_PLAY,0,3,buy,Copper,,1
12,,2025-04-13T03:20:59.151,effect,CARD_PLAY,0,3,buy,Copper,,1
13,,2025-04-13T03:20:59.288,effect,CARD_BUY,0,3,buy,Laboratory,,1
14,,2025-04-13T03:20:59.331,phase,PHASE_END,0,3,buy,,,
15,,2025-04-13T03:20:59.331,phase,PHASE_START,0,3,cleanup,,,
16,,2025-04-13T03:20:59.331,phase,PHASE_END,0,3,cleanup,,,
17,,2025-04-13T03:20:59.373,turn,TURN_END,0,3,,,,
18,,2025-04-13T03:20:59.373,turn,TURN_START,1,4,,,,
19,,2025-04-13T03:20:59.374,phase,PHASE_START,1,4,start,,,
20,,2025-04-13T03:20:59.374,phase,PHASE_END,1,4,start,,,
21,,2025-04-13T03:20:59.375,phase,PHASE_START,1,4,action,,,
22,,2025-04-13T03:20:59.375,phase,PHASE_END,1,4,action,,,
23,,2025-04-13T03:20:59.375,phase,PHASE_START,1,4,buy,,,
24,,2025-04-13T03:20:59.376,effect,CARD_PLAY,1,4,buy,Copper,,1
25,,2025-04-13T03:20:59.376,effect,CARD_PLAY,1,4,buy,Copper,,1
26,,2025-04-13T03:20:59.377,effect,CARD_PLAY,1,4,buy,Copper,,1
27,,2025-04-13T03:20:59.377,effect,CARD_PLAY,1,4,buy,Copper,,1
28,,2025-04-13T03:20:59.378,effect,CARD_PLAY,1,4,buy,Copper,,1
29,,2025-04-13T03:20:59.378,effect,CARD_BUY,1,4,buy,Laboratory,,1
30,,2025-04-13T03:20:59.379,phase,PHASE_END,1,4,buy,,,
31,,2025-04-13T03:20:59.379,phase,PHASE_START,1,4,cleanup,,,
32,,2025-04-13T03:20:59.38,phase,PHASE_END,1,4,cleanup,,,
