log_id,game_id,timestamp,category,type,turn,player,phase,card_target,card_source,card_count
1,bce587e5-19ad-4b16-ad46-089f221003f0,2025-04-13T06:49:54.425,game,GAME_START,,,,,,
2,,2025-04-13T06:49:55.164,turn,TURN_START,0,4,,,,
3,,2025-04-13T06:49:55.164,phase,PHASE_START,0,4,start,,,
4,,2025-04-13T06:49:55.164,phase,PHASE_END,0,4,start,,,
5,,2025-04-13T06:49:55.165,phase,PHASE_START,0,4,action,,,
6,,2025-04-13T06:49:55.178,phase,PHASE_END,0,4,action,,,
7,,2025-04-13T06:49:55.178,phase,PHASE_START,0,4,buy,,,
8,,2025-04-13T06:49:55.231,effect,CARD_PLAY,0,4,buy,Copper,,1
9,,2025-04-13T06:49:55.27,effect,CARD_PLAY,0,4,buy,Copper,,1
10,,2025-04-13T06:49:55.27,effect,CARD_PLAY,0,4,buy,Copper,,1
11,,2025-04-13T06:49:55.27,effect,CARD_PLAY,0,4,buy,Copper,,1
12,,2025-04-13T06:49:55.271,effect,CARD_PLAY,0,4,buy,Copper,,1
13,,2025-04-13T06:49:55.405,effect,CARD_BUY,0,4,buy,Laboratory,,1
14,,2025-04-13T06:49:55.447,phase,PHASE_END,0,4,buy,,,
15,,2025-04-13T06:49:55.447,phase,PHASE_START,0,4,cleanup,,,
16,,2025-04-13T06:49:55.447,phase,PHASE_END,0,4,cleanup,,,
17,,2025-04-13T06:49:55.488,turn,TURN_END,0,4,,,,
18,,2025-04-13T06:49:55.489,turn,TURN_START,1,1,,,,
19,,2025-04-13T06:49:55.489,phase,PHASE_START,1,1,start,,,
20,,2025-04-13T06:49:55.489,phase,PHASE_END,1,1,start,,,
21,,2025-04-13T06:49:55.49,phase,PHASE_START,1,1,action,,,
22,,2025-04-13T06:49:55.49,phase,PHASE_END,1,1,action,,,
23,,2025-04-13T06:49:55.491,phase,PHASE_START,1,1,buy,,,
24,,2025-04-13T06:49:55.491,effect,CARD_PLAY,1,1,buy,Copper,,1
25,,2025-04-13T06:49:55.492,effect,CARD_PLAY,1,1,buy,Copper,,1
26,,2025-04-13T06:49:55.492,effect,CARD_PLAY,1,1,buy,Copper,,1
27,,2025-04-13T06:49:55.493,effect,CARD_PLAY,1,1,buy,Copper,,1
