log_id,game_id,timestamp,category,type,turn,player,phase,card_target,card_source,card_count
1,bf4edbcc-cd88-4eee-a71b-6453e0e69d9f,2025-04-13T00:30:10.549,game,GAME_START,,,,,,
2,,2025-04-13T00:30:11.272,turn,TURN_START,0,3,,,,
3,,2025-04-13T00:30:11.279,phase,PHASE_START,0,3,start,,,
4,,2025-04-13T00:30:11.279,phase,PHASE_END,0,3,start,,,
5,,2025-04-13T00:30:11.28,phase,PHASE_START,0,3,action,,,
6,,2025-04-13T00:30:11.291,phase,PHASE_END,0,3,action,,,
7,,2025-04-13T00:30:11.291,phase,PHASE_START,0,3,buy,,,
8,,2025-04-13T00:30:11.344,effect,CARD_PLAY,0,3,buy,Copper,,1
9,,2025-04-13T00:30:11.383,effect,CARD_PLAY,0,3,buy,Copper,,1
10,,2025-04-13T00:30:11.384,effect,CARD_PLAY,0,3,buy,Copper,,1
11,,2025-04-13T00:30:11.384,effect,CARD_PLAY,0,3,buy,Copper,,1
12,,2025-04-13T00:30:11.384,effect,CARD_PLAY,0,3,buy,Copper,,1
13,,2025-04-13T00:30:11.519,effect,CARD_BUY,0,3,buy,Laboratory,,1
14,,2025-04-13T00:30:11.561,phase,PHASE_END,0,3,buy,,,
15,,2025-04-13T00:30:11.561,phase,PHASE_START,0,3,cleanup,,,
16,,2025-04-13T00:30:11.562,phase,PHASE_END,0,3,cleanup,,,
17,,2025-04-13T00:30:11.601,turn,TURN_END,0,3,,,,
18,,2025-04-13T00:30:11.601,turn,TURN_START,1,4,,,,
19,,2025-04-13T00:30:11.601,phase,PHASE_START,1,4,start,,,
20,,2025-04-13T00:30:11.602,phase,PHASE_END,1,4,start,,,
21,,2025-04-13T00:30:11.602,phase,PHASE_START,1,4,action,,,
22,,2025-04-13T00:30:11.602,phase,PHASE_END,1,4,action,,,
23,,2025-04-13T00:30:11.603,phase,PHASE_START,1,4,buy,,,
24,,2025-04-13T00:30:11.603,effect,CARD_PLAY,1,4,buy,Copper,,1
25,,2025-04-13T00:30:11.604,effect,CARD_PLAY,1,4,buy,Copper,,1
26,,2025-04-13T00:30:11.604,effect,CARD_PLAY,1,4,buy,Copper,,1
27,,2025-04-13T00:30:11.605,effect,CARD_PLAY,1,4,buy,Copper,,1
28,,2025-04-13T00:30:11.605,effect,CARD_PLAY,1,4,buy,Copper,,1
29,,2025-04-13T00:30:11.606,effect,CARD_BUY,1,4,buy,Laboratory,,1
30,,2025-04-13T00:30:11.606,phase,PHASE_END,1,4,buy,,,
31,,2025-04-13T00:30:11.606,phase,PHASE_START,1,4,cleanup,,,
32,,2025-04-13T00:30:11.607,phase,PHASE_END,1,4,cleanup,,,
33,,2025-04-13T00:30:11.607,turn,TURN_END,1,4,,,,
34,,2025-04-13T00:30:11.608,turn,TURN_START,2,1,,,,
35,,2025-04-13T00:30:11.608,phase,PHASE_START,2,1,start,,,
36,,2025-04-13T00:30:11.612,phase,PHASE_END,2,1,start,,,
37,,2025-04-13T00:30:11.612,phase,PHASE_START,2,1,action,,,
38,,2025-04-13T00:30:11.612,phase,PHASE_END,2,1,action,,,
39,,2025-04-13T00:30:11.613,phase,PHASE_START,2,1,buy,,,
40,,2025-04-13T00:30:11.613,effect,CARD_PLAY,2,1,buy,Copper,,1
41,,2025-04-13T00:30:11.613,effect,CARD_PLAY,2,1,buy,Copper,,1
42,,2025-04-13T00:30:11.614,effect,CARD_PLAY,2,1,buy,Copper,,1
43,,2025-04-13T00:30:11.614,effect,CARD_PLAY,2,1,buy,Copper,,1
44,,2025-04-13T00:30:11.615,effect,CARD_PLAY,2,1,buy,Copper,,1
45,,2025-04-13T00:30:11.615,effect,CARD_BUY,2,1,buy,Laboratory,,1
46,,2025-04-13T00:30:11.616,phase,PHASE_END,2,1,buy,,,
47,,2025-04-13T00:30:11.616,phase,PHASE_START,2,1,cleanup,,,
48,,2025-04-13T00:30:11.617,phase,PHASE_END,2,1,cleanup,,,
49,,2025-04-13T00:30:11.617,turn,TURN_END,2,1,,,,
50,,2025-04-13T00:30:11.617,turn,TURN_START,3,2,,,,
51,,2025-04-13T00:30:11.618,phase,PHASE_START,3,2,start,,,
52,,2025-04-13T00:30:11.618,phase,PHASE_END,3,2,start,,,
53,,2025-04-13T00:30:11.619,phase,PHASE_START,3,2,action,,,
54,,2025-04-13T00:30:11.619,phase,PHASE_END,3,2,action,,,
55,,2025-04-13T00:30:11.619,phase,PHASE_START,3,2,buy,,,
56,,2025-04-13T00:30:11.621,effect,CARD_PLAY,3,2,buy,Copper,,1
57,,2025-04-13T00:30:11.621,effect,CARD_PLAY,3,2,buy,Copper,,1
58,,2025-04-13T00:30:11.622,effect,CARD_PLAY,3,2,buy,Copper,,1
59,,2025-04-13T00:30:11.622,effect,CARD_PLAY,3,2,buy,Copper,,1
60,,2025-04-13T00:30:11.623,effect,CARD_PLAY,3,2,buy,Copper,,1
61,,2025-04-13T00:30:11.623,effect,CARD_BUY,3,2,buy,Laboratory,,1
62,,2025-04-13T00:30:11.624,phase,PHASE_END,3,2,buy,,,
63,,2025-04-13T00:30:11.624,phase,PHASE_START,3,2,cleanup,,,
64,,2025-04-13T00:30:11.625,phase,PHASE_END,3,2,cleanup,,,
65,,2025-04-13T00:30:11.625,turn,TURN_END,3,2,,,,
66,,2025-04-13T00:30:11.628,turn,TURN_START,4,3,,,,
67,,2025-04-13T00:30:11.629,phase,PHASE_START,4,3,start,,,
68,,2025-04-13T00:30:11.629,phase,PHASE_END,4,3,start,,,
69,,2025-04-13T00:30:11.63,phase,PHASE_START,4,3,action,,,
70,,2025-04-13T00:30:11.63,phase,PHASE_END,4,3,action,,,
71,,2025-04-13T00:30:11.631,phase,PHASE_START,4,3,buy,,,
72,,2025-04-13T00:30:11.631,effect,CARD_PLAY,4,3,buy,Copper,,1
73,,2025-04-13T00:30:11.671,effect,CARD_PLAY,4,3,buy,Copper,,1
74,,2025-04-13T00:30:11.675,effect,CARD_BUY,4,3,buy,Copper,,1
75,,2025-04-13T00:30:11.676,phase,PHASE_END,4,3,buy,,,
76,,2025-04-13T00:30:11.676,phase,PHASE_START,4,3,cleanup,,,
77,,2025-04-13T00:30:11.676,phase,PHASE_END,4,3,cleanup,,,
78,,2025-04-13T00:30:11.677,turn,TURN_END,4,3,,,,
79,,2025-04-13T00:30:11.684,turn,TURN_START,5,4,,,,
80,,2025-04-13T00:30:11.684,phase,PHASE_START,5,4,start,,,
81,,2025-04-13T00:30:11.684,phase,PHASE_END,5,4,start,,,
82,,2025-04-13T00:30:11.685,phase,PHASE_START,5,4,action,,,
83,,2025-04-13T00:30:11.685,phase,PHASE_END,5,4,action,,,
84,,2025-04-13T00:30:11.686,phase,PHASE_START,5,4,buy,,,
85,,2025-04-13T00:30:11.686,effect,CARD_PLAY,5,4,buy,Copper,,1
86,,2025-04-13T00:30:11.686,effect,CARD_PLAY,5,4,buy,Copper,,1
87,,2025-04-13T00:30:11.687,effect,CARD_BUY,5,4,buy,Copper,,1
88,,2025-04-13T00:30:11.687,phase,PHASE_END,5,4,buy,,,
89,,2025-04-13T00:30:11.688,phase,PHASE_START,5,4,cleanup,,,
90,,2025-04-13T00:30:11.688,phase,PHASE_END,5,4,cleanup,,,
91,,2025-04-13T00:30:11.689,turn,TURN_END,5,4,,,,
92,,2025-04-13T00:30:11.689,turn,TURN_START,6,1,,,,
93,,2025-04-13T00:30:11.689,phase,PHASE_START,6,1,start,,,
94,,2025-04-13T00:30:11.69,phase,PHASE_END,6,1,start,,,
95,,2025-04-13T00:30:11.69,phase,PHASE_START,6,1,action,,,
96,,2025-04-13T00:30:11.69,phase,PHASE_END,6,1,action,,,
97,,2025-04-13T00:30:11.691,phase,PHASE_START,6,1,buy,,,
98,,2025-04-13T00:30:11.691,effect,CARD_PLAY,6,1,buy,Copper,,1
99,,2025-04-13T00:30:11.693,effect,CARD_PLAY,6,1,buy,Copper,,1
100,,2025-04-13T00:30:11.693,effect,CARD_BUY,6,1,buy,Copper,,1
101,,2025-04-13T00:30:11.693,phase,PHASE_END,6,1,buy,,,
102,,2025-04-13T00:30:11.694,phase,PHASE_START,6,1,cleanup,,,
103,,2025-04-13T00:30:11.694,phase,PHASE_END,6,1,cleanup,,,
104,,2025-04-13T00:30:11.695,turn,TURN_END,6,1,,,,
105,,2025-04-13T00:30:11.695,turn,TURN_START,7,2,,,,
106,,2025-04-13T00:30:11.696,phase,PHASE_START,7,2,start,,,
107,,2025-04-13T00:30:11.696,phase,PHASE_END,7,2,start,,,
108,,2025-04-13T00:30:11.697,phase,PHASE_START,7,2,action,,,
109,,2025-04-13T00:30:11.697,phase,PHASE_END,7,2,action,,,
110,,2025-04-13T00:30:11.697,phase,PHASE_START,7,2,buy,,,
111,,2025-04-13T00:30:11.698,effect,CARD_PLAY,7,2,buy,Copper,,1
112,,2025-04-13T00:30:11.698,effect,CARD_PLAY,7,2,buy,Copper,,1
113,,2025-04-13T00:30:11.699,effect,CARD_BUY,7,2,buy,Copper,,1
114,,2025-04-13T00:30:11.725,phase,PHASE_END,7,2,buy,,,
115,,2025-04-13T00:30:11.726,phase,PHASE_START,7,2,cleanup,,,
116,,2025-04-13T00:30:11.726,phase,PHASE_END,7,2,cleanup,,,
117,,2025-04-13T00:30:11.726,turn,TURN_END,7,2,,,,
118,,2025-04-13T00:30:11.727,turn,TURN_START,8,3,,,,
119,,2025-04-13T00:30:11.727,phase,PHASE_START,8,3,start,,,
120,,2025-04-13T00:30:11.728,phase,PHASE_END,8,3,start,,,
121,,2025-04-13T00:30:11.728,phase,PHASE_START,8,3,action,,,
122,,2025-04-13T00:30:11.728,phase,PHASE_END,8,3,action,,,
123,,2025-04-13T00:30:11.729,phase,PHASE_START,8,3,buy,,,
124,,2025-04-13T00:30:11.729,effect,CARD_PLAY,8,3,buy,Copper,,1
125,,2025-04-13T00:30:11.73,effect,CARD_PLAY,8,3,buy,Copper,,1
126,,2025-04-13T00:30:11.73,effect,CARD_PLAY,8,3,buy,Copper,,1
127,,2025-04-13T00:30:11.731,effect,CARD_BUY,8,3,buy,Copper,,1
128,,2025-04-13T00:30:11.771,phase,PHASE_END,8,3,buy,,,
129,,2025-04-13T00:30:11.771,phase,PHASE_START,8,3,cleanup,,,
130,,2025-04-13T00:30:11.772,phase,PHASE_END,8,3,cleanup,,,
131,,2025-04-13T00:30:11.81,turn,TURN_END,8,3,,,,
132,,2025-04-13T00:30:11.81,turn,TURN_START,9,4,,,,
133,,2025-04-13T00:30:11.811,phase,PHASE_START,9,4,start,,,
134,,2025-04-13T00:30:11.812,phase,PHASE_END,9,4,start,,,
135,,2025-04-13T00:30:11.812,phase,PHASE_START,9,4,action,,,
136,,2025-04-13T00:30:11.857,effect,CARD_PLAY,9,4,action,Laboratory,,1
137,,2025-04-13T00:30:11.858,phase,PHASE_END,9,4,action,,,
138,,2025-04-13T00:30:11.858,phase,PHASE_START,9,4,buy,,,
139,,2025-04-13T00:30:11.858,effect,CARD_PLAY,9,4,buy,Copper,,1
140,,2025-04-13T00:30:11.859,effect,CARD_PLAY,9,4,buy,Copper,,1
141,,2025-04-13T00:30:11.859,effect,CARD_PLAY,9,4,buy,Copper,,1
142,,2025-04-13T00:30:11.859,effect,CARD_PLAY,9,4,buy,Copper,,1
143,,2025-04-13T00:30:11.86,effect,CARD_PLAY,9,4,buy,Copper,,1
144,,2025-04-13T00:30:11.86,effect,CARD_BUY,9,4,buy,Laboratory,,1
145,,2025-04-13T00:30:11.86,phase,PHASE_END,9,4,buy,,,
